X1,X2,X3,X4,Y
6.2638,-5.3975,3.0154,4.7926,15.2026
0.7091,0.6845,-2.4664,-5.1219,76.7328
-6.2264,-3.2594,0.0225,0.9819,-77.4372
-8.4136,5.8411,3.7322,-6.3366,-15.2489
-7.5662,-2.4373,0.8929,7.6971,-142.7540
3.7499,-4.2561,3.5771,1.1774,-44.1525
-9.9838,-7.2625,0.4628,-7.5120,-101.5132
-6.5547,-6.2138,1.4998,-5.6830,-104.4253
-5.3568,-0.7033,-0.4457,-4.7146,-41.6627
-1.6639,0.2586,2.2129,2.2011,-68.1810
0.4831,-6.3498,-2.3623,-1.2147,-46.5036
8.1344,-3.5053,-5.3307,0.2748,93.8382
-0.5742,6.3230,-0.4609,3.8447,13.3822
9.5249,-7.6283,2.1031,7.3990,-54.6190
-5.8780,6.2552,6.3262,-0.4145,-79.1848
-3.2188,-0.1428,-0.5870,5.6790,-89.5119
8.2150,6.7519,0.3202,-8.4548,221.0090
9.0202,4.4542,-5.2463,-7.7212,248.0369
-3.3346,5.4250,-6.9189,-8.0632,119.1378
