fk_moneda,fk_plan,fk_fpagp,fuma,sexo,edad,Suma Aseg ,Reserva,Prima,pzoseg,pzopago,suma retenida 
2,2,1,N,M,52,"500,000.00","116,565.30","10,203.24",20,20,"300,000.00"
2,2,2,N,F,56,"312,500.00","2,137.22","1,211.25",15,15,"125,000.00"
2,2,2,N,M,48,"650,000.00","74,826.93","6,681.48",60,60,"260,000.00"
2,2,1,N,F,24,"375,000.00","7,240.40","2,920.50",20,20,"150,000.00"
2,2,1,N,M,47,"2,500,000.00","9,507.02","3,156.00",20,20,"1,250,000.00"
2,1,3,S,M,49,"125,000.00","1,602.55",208.09,99,99,"50,000.00"
2,2,2,N,F,48,"187,500.00","2,813.02",930.75,20,20,"112,500.00"
2,2,1,S,M,46,"750,000.00","4,129.68","2,097.00",20,20,"300,000.00"
2,2,1,S,F,46,"7,500,000.00","2,011,452.93","195,345.00",18,18,"1,875,000.00"
2,2,1,N,F,41,"375,000.00","13,088.82","5,647.50",20,20,"225,000.00"
2,1,2,N,M,41,"187,500.00","3,433.01",385.81,99,99,"112,500.00"
2,2,1,N,F,43,"500,000.00","6,348.41","2,584.00",20,20,"300,000.00"
2,2,2,N,M,45,"250,000.00","3,748.31","1,184.50",75,20,"150,000.00"
2,2,2,N,M,50,"464,890.00","1,842.93","1,210.56",17,17,0
2,2,2,N,M,44,"1,000,000.00","5,845.56","3,534.00",20,20,"600,000.00"
2,1,2,N,M,40,"375,000.00","5,503.47",937.5,99,99,"225,000.00"
2,2,1,N,F,39,"185,625.00","28,739.05","3,714.00",20,20,"74,250.00"
2,2,2,N,F,52,"1,000,000.00","7,441.48","3,520.00",20,20,"600,000.00"
2,2,2,N,M,31,"187,500.00","55,606.52","5,344.88",18,18,0
2,2,2,N,M,57,"62,500.00",222.91,86.63,18,18,0
2,2,1,N,F,35,"375,000.00","58,240.61","7,250.25",20,20,"150,000.00"
2,1,1,N,M,44,"1,250,000.00","69,368.32","17,494.75",99,99,"625,000.00"
2,2,4,N,M,49,"1,125,000.00","21,483.07","8,383.50",20,20,"450,000.00"
2,2,1,N,M,41,"250,000.00",616.98,379.5,22,22,0
2,2,3,N,M,40,"375,000.00","3,549.81","1,653.00",20,20,"225,000.00"
2,1,3,N,M,53,"2,500,000.00","48,754.04","8,645.75",99,20,"1,250,000.00"
2,2,1,N,M,49,"1,500,000.00","68,863.59","20,823.00",20,20,"900,000.00"
2,2,1,N,F,50,"273,802.50","32,087.70","5,787.00",25,25,"164,281.50"
2,1,2,N,M,48,"1,000,000.00","65,162.61","10,266.00",99,99,"400,000.00"
2,2,1,S,M,39,"1,500,000.00","270,455.73","29,742.00",20,20,"900,000.00"
2,2,2,S,M,54,"2,500,000.00","36,086.38","12,598.00",20,20,"1,250,000.00"
2,2,1,N,M,50,"250,000.00","7,895.74","2,739.50",18,18,"150,000.00"
2,2,2,N,F,31,"125,000.00","6,533.89",591.5,65,65,"50,000.00"
2,1,1,N,M,52,"375,000.00","30,635.26","3,670.99",99,99,"225,000.00"
2,2,2,N,M,33,"375,000.00","1,564.64",414,18,18,"150,000.00"
2,2,1,N,M,45,"500,000.00","89,944.22","12,208.00",14,14,"300,000.00"
2,2,2,S,M,28,"937,500.00","129,181.19","13,179.38",25,25,"562,500.00"
2,2,1,N,F,42,"75,000.00",216.61,60.3,18,18,0
2,1,1,N,F,29,"1,050,000.00","12,798.74","2,782.20",99,99,"420,000.00"
2,2,2,S,M,31,"375,000.00","4,794.21","1,513.55",20,20,"150,000.00"
2,1,3,N,M,32,"1,000,000.00","22,794.37","1,914.20",99,99,"600,000.00"
